User ID,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5
1,anuradhapura,haputale,polonnaruwa,thuparamaya,hatadage
2,hot madunagala spring water,forest kanneliya national rain reserve,hot maha oya springs water,horton national park plains,national park wilpattu
3,beach mirissa,lagoon negombo,beach jungle,park viharamahadevi,harbour trincomalee
4,hot maha oya springs water,hot madunagala spring water,kalpitiya,lagoon negombo,city colombo port
5,dutch fort galle,sigiriya,lagoon negombo,city colombo port,jaffna library public
6,and cave dambulla golden royal temple temple,dutch fort galle,sigiriya,colombo,mihintale
7,kalpitiya,lagoon negombo,hikkaduwa,club colombo golf royal,club eliya golf nuwara
8,adams pada peak sri,dalada maligawa sri,harbour trincomalee,kandalama,dambulla
9,dutch fort galle,sigiriya,botanic dry gardens hambantota zone,botanical gardens seethawaka wet zone,botanical garden hakgala
10,lagoon negombo,city colombo port,sunsetisland,center conservation forest makandawa makandawa,ganga madu
11,kandy museum national,galle museum national,dutch museum,colombo museum national,maritime museum
12,national park udawalawe,national park wilpattu,minneriya national park,camping heyna site,national park wasgamuwa
13,hikkaduwa,kandy museum national,galle museum national,beach rekawa,point turtle watching
14,dutch fort galle,galle,sunsetisland,lagoon negombo,center conservation forest makandawa makandawa
15,trincomalee,national park yala,eliya seetha,doovili ella neluwa,belihuloya
16,kandalama,dambulla,udawalawa,pinnawala,galle
17,kumana national park,forest reserve sinharaja,bundala national park,ambalangoda,point turtle watching
18,sigiriya,hikkaduwa,national park udawalawe,national park wilpattu,minneriya national park
19,eliya nuwara,kandy,dalada maligawa sri,lanka planetarium sri,folk martin museum wickramasinghe
20,national park yala,beach mirissa,national park udawalawe,beach hikkaduwa,camping heyna site
21,ancient city polonnaruwa,anuradhapura,dhanaja gem museum,eliya seetha,polonnaruwa
22,anuradhapura,galle,colombo,udawalawa,pinnawala
23,galle,city colombo tour,centre city kandy,colombo,dalada maligawa sri
24,and cave dambulla golden royal temple temple,mihintale,adams pada peak sri,arts centre nelung,gangaramaya temple
25,sigiriya,horton national park plains,and cave dambulla golden royal temple temple,forest reserve sinharaja,arches bridge nine
26,galle,knuckles,forest reserve sinharaja,botanic dry gardens hambantota zone,botanical gardens seethawaka wet zone
27,kitulgala,city colombo port,dalada maligawa sri,kalpitiya lagoon,ahungalla
28,belihuloya,beach nilaveli,kadugannawa lions mouth rock,pidurangala rock,beach hiriketiya
29,island pigeon,and cave dambulla golden royal temple temple,beach unawatuna,mihintale,beach hikkaduwa
30,adams pada peak sri,anuradhapura,lagoon negombo,polonnaruwa,dewalaya kataragama maha ruhunu
31,ancient city polonnaruwa,anuradhapura,dutch fort galle,jaffna library public,folk martin museum wickramasinghe
32,sigiriya,national park udawalawe,forest kanneliya national rain reserve,elephant home transit,elephant orphanage pinnawala
33,adams pada peak sri,city colombo port,leisure world,pinnawala,bay pearl
34,beach mirissa,negombo,beach marakolliya,beach nilaveli,marakolliya
35,and cave dambulla golden royal temple temple,mihintale,galle,arts crafts sunflower,ambalangoda
36,arts centre nelung,negombo,island pigeon,city colombo tour,centre city kandy
37,dalada maligawa sri,forest kanneliya national rain reserve,national park udawalawe,national park wilpattu,minneriya national park
38,forest kanneliya national rain reserve,national park udawalawe,national park wilpattu,minneriya national park,camping heyna site
39,beach mirissa,kandy,trincomalee,national park yala,explorers mirissa whale
40,anuradhapura,island pigeon,dutch fort galle,beach nilaveli,polonnaruwa
41,beach unawatuna,kandy museum national,arts centre nelung,galle museum national,dutch museum
42,island pigeon,hikkaduwa,kandy museum national,galle museum national,dutch museum
43,hot maha oya springs water,hot madunagala spring water,eliya nuwara,haputale,dambulla
44,jaffna library public,arts centre nelung,arugam bay beach,beach nilaveli,beach hiriketiya
45,knuckles,fortress rock yapahuwa,ella surathali,belihuloya,kadugannawa lions mouth rock
46,knuckles,kandy,botanic dry gardens hambantota zone,botanical gardens seethawaka wet zone,botanical garden hakgala
47,harbour trincomalee,kandy museum national,galle museum national,colombo museum national,botanic dry gardens hambantota zone
48,kitulgala,island pigeon,kandalama,dambulla,hot maha oya springs water
49,hot madunagala spring water,hot maha oya springs water,club colombo golf royal,club eliya golf nuwara,lanka planetarium sri
50,eliya nuwara,dambulla,botanic dry gardens hambantota zone,botanical gardens seethawaka wet zone,kandalama
51,beach mirissa,beach hikkaduwa,kitulgala,tangalle,ahangama
52,city colombo port,lagoon negombo,beach jungle,park viharamahadevi,kumana national park
53,hot madunagala spring water,hot maha oya springs water,dambulla,kandalama,hot kanniya springs water
54,sigiriya,anuradhapura,archaeological mihintale museum,colombo,ancient city polonnaruwa
55,hot madunagala spring water,hot maha oya springs water,haputale,sigiriya,ancient city polonnaruwa
56,beach mirissa,trincomalee,city colombo port,hikkaduwa,harbour trincomalee
57,leisure world,kandy,dambulla,kandalama,bay pearl
58,forest reserve sinharaja,national park yala,galle,arches bridge nine,boat center coral issue sanctuary ticket
59,anuradhapura,national park udawalawe,elephant home transit,pinnawala,elephant orphanage pinnawala
60,knuckles,fortress rock yapahuwa,ella surathali,arts centre nelung,kadugannawa lions mouth rock
61,dambulla,eliya nuwara,kandy,kandalama,dalada maligawa sri
62,sigiriya,horton national park plains,national park yala,hot madunagala spring water,hot maha oya springs water
63,hot madunagala spring water,hot maha oya springs water,and cave dambulla golden royal temple temple,sigiriya,mihintale
64,anuradhapura,sigiriya,trincomalee,forest reserve sinharaja,polonnaruwa
65,dalada maligawa sri,and cave dambulla golden royal temple temple,trincomalee,beach hikkaduwa,tangalle
66,arts centre nelung,hikkaduwa,art centre lionel wendt,nelum pokuna theatre,art gallery national of
67,dalada maligawa sri,knuckles,lagoon negombo,horton national park plains,folk martin museum wickramasinghe
68,beach mirissa,island pigeon,hikkaduwa,trincomalee,explorers mirissa whale
69,dalada maligawa sri,city colombo tour,centre city kandy,folk martin museum wickramasinghe,city colombo port
70,kitulgala,beach unawatuna,camping heyna site,meemure,belihuloya
71,national park yala,forest reserve sinharaja,arches bridge nine,adams pada peak sri,dewalaya kataragama maha ruhunu
72,national park yala,beach mirissa,belihuloya,camping heyna site,meemure
73,kalpitiya,hikkaduwa,city colombo port,bolgoda lake,lanka planetarium sri
74,hot madunagala spring water,hot maha oya springs water,ancient city polonnaruwa,dutch fort galle,sigiriya
75,hikkaduwa,botanic dry gardens hambantota zone,botanical gardens seethawaka wet zone,botanical garden hakgala,golden mountain narangala
76,and cave dambulla golden royal temple temple,dalada maligawa sri,kitulgala,dewalaya kataragama maha ruhunu,city colombo port
77,and cave dambulla golden royal temple temple,dalada maligawa sri,anuradhapura,hikkaduwa,polonnaruwa
78,knuckles,horton national park plains,beach unawatuna,kumana national park,beach nilaveli
79,devasthanam kandaswamy nallur,kandy,adams pada peak sri,dewalaya kataragama maha ruhunu,deliwala kota temple vehera
80,national park yala,camping heyna site,leisure world,belihuloya,meemure
81,eliya nuwara,national park yala,horton national park plains,forest reserve sinharaja,arches bridge nine
82,anuradhapura,dalada maligawa sri,polonnaruwa,archaeological mihintale museum,colombo
83,dalada maligawa sri,adams pada peak sri,and cave dambulla golden royal temple temple,beach unawatuna,dewalaya kataragama maha ruhunu
84,kumana national park,anuradhapura,mihintale,bundala national park,kandy
85,adams pada peak sri,lagoon negombo,beach mirissa,kandalama,dambulla
86,kandy,anuradhapura,eliya nuwara,galle,art gallery national of
87,kandy,devasthanam kandaswamy nallur,ambalangoda,arts crafts sunflower,polonnaruwa
88,galle,beach mirissa,haputale,dambulla,unawatuna
89,dalada maligawa sri,centre cultural kandyan,gangaramaya temple,folk martin museum wickramasinghe,dewalaya kataragama maha ruhunu
90,dutch fort galle,harbour trincomalee,sigiriya,city colombo port,jaffna library public
91,and cave dambulla golden royal temple temple,beach mirissa,trincomalee,hikkaduwa,explorers mirissa whale
92,sigiriya,horton national park plains,forest reserve sinharaja,arts centre nelung,art centre lionel wendt
93,beach mirissa,arts centre nelung,ambalangoda,art gallery national of,arts crafts sunflower
94,eliya nuwara,kandy,national park yala,trincomalee,national park udawalawe
95,sigiriya,haputale,horton national park plains,forest reserve sinharaja,arches bridge nine
96,city colombo port,leisure world,bay pearl,anuradhapura,51 prasadaya sathmahal
97,national park yala,camping heyna site,belihuloya,meemure,blue camping moon
98,and cave dambulla golden royal temple temple,mihintale,anuradhapura,beach unawatuna,polonnaruwa
99,island pigeon,arts centre nelung,gangaramaya temple,art centre lionel wendt,nelum pokuna theatre
100,galle,colombo,forest kanneliya national rain reserve,national park udawalawe,elephant home transit
101,knuckles,lanka planetarium sri,golden mountain narangala,sunsetisland,center conservation forest makandawa makandawa
102,leisure world,kitulgala,bay pearl,eliya seetha,doovili ella neluwa
103,anuradhapura,sigiriya,dutch fort galle,leisure world,polonnaruwa
104,adams pada peak sri,fortress rock yapahuwa,ella surathali,galle,kadugannawa lions mouth rock
