User ID,Top 1 Destination,Top 2 Destination,Top 3 Destination,Top 4 Destination,Top 5 Destination
1,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
2,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
3,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
4,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
5,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
6,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
7,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
8,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
9,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
10,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
11,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
12,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
13,Aanda Ella Fall,Elephant Point Beach,Council Chamber,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
14,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
15,Aanda Ella Fall,riapla Mask Museum,Batticaloa Gate |,- Parewi Duwa Temple,Ahungalla
16,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
17,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
18,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
19,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
20,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
21,- Parewi Duwa Temple,Aanda Ella Fall,riapla Mask Museum,Boat Trip Kalpitiya | Dolphin Watching,Batticaloa Gate |
22,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
23,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
24,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
25,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
26,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
27,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
28,Aanda Ella Fall,riapla Mask Museum,Council Chamber,Elephant Point Beach,Batticaloa Gate |
29,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Aanda Ella Fall
30,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
31,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
32,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
33,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
34,Aanda Ella Fall,riapla Mask Museum,- Parewi Duwa Temple,Batticaloa Gate |,Ahungalla
35,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
36,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
37,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
38,Ambalangoda,Ambuluwawa Biodiversity Complex,Elephant Point Beach,Council Chamber,Dimbulana hills Spot
39,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
40,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
41,Aanda Ella Fall,riapla Mask Museum,- Parewi Duwa Temple,Batticaloa Gate |,Ahungalla
42,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
43,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
44,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
45,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
46,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
47,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,riapla Mask Museum
48,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
49,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Aanda Ella Fall
50,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
51,Aanda Ella Fall,riapla Mask Museum,- Parewi Duwa Temple,Batticaloa Gate |,Ahungalla
52,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
53,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
54,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
55,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
56,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
57,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
58,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
59,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
60,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
61,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
62,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
63,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
64,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
65,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
66,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
67,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
68,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
69,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
70,Aanda Ella Fall,Elephant Point Beach,Ambalangoda,Council Chamber,"All Saints' Church, Galle - Church of Ceylon"
71,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
72,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
73,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
74,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
75,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
76,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
77,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
78,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
79,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
80,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
81,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
82,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
83,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
84,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
85,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
86,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
87,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
