User ID,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5
1,thuparamaya,hatadage,potgul temple,batticaloa dutch fort,fort frederick
2,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,anawilundawa wetland,kandalama
3,mirissa,harbour trincomalee,beach okanda,and centre conservation hasselblad research sea turtle victor,habaraduwa hatchery sea turtle
4,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,bolgoda lake,beach mandathivu
5,dutch fort galle,parakrama samudraya,haputale,kingdom panduwasnuwara,monument of victory
6,kandy,art gallery national of,art centre lionel wendt,arts centre nelung,deliwala kota temple vehera
7,bolgoda lake,beach mandathivu,beach kiranchi,beach okanda,bird chundikulam sanctuary
8,kandalama,dambulla,hot maha oya springs water,hot madunagala spring water,hot jayanthi spring wewa
9,botanic dry gardens hambantota zone,park ranmasu royal uyana,lunuganga,centre cultural kandyan,botanic gardens peradeniya royal
10,sunsetisland,center conservation forest makandawa makandawa,lagoon negombo,ganga madu,boat dolphin kalpitiya trip watching
11,dhanaja gem museum,folk martin museum wickramasinghe,independence memorial museum,museum paduwasnuwara,kandy museum national
12,camping heyna site,blue camping moon,golden mountain narangala,belihuloya,meemure
13,point turtle watching,ambalangoda,dhanaja gem museum,independence memorial museum,and centre conservation hasselblad research sea turtle victor
14,galle,sunsetisland,center conservation forest makandawa makandawa,lagoon negombo,church dutch matara reformed
15,eliya seetha,doovili ella neluwa,forest kanneliya national rain reserve,belihuloya,negombo
16,udawalawa,galle,kandalama,pinnawala,elephant park
17,ambalangoda,point turtle watching,bird tower watching,galle,anawilundawa wetland
18,anawilundawa wetland,sanctuary tissa wirawila,jungle muru safari,national park wasgamuwa,angammedilla national park
19,lanka planetarium sri,kandy,eliya nuwara,folk martin museum wickramasinghe,51 prasadaya sathmahal
20,camping heyna site,blue camping moon,belihuloya,meemure,arana sandaraja wana
21,dhanaja gem museum,independence memorial museum,eliya seetha,museum paduwasnuwara,folk martin museum wickramasinghe
22,udawalawa,art gallery national of,pinnawala,art centre lionel wendt,elephant park
23,art gallery national of,art centre lionel wendt,arts centre nelung,kandy,galle
24,manelwatta temple,deliwala kota temple vehera,duwa parewi temple,island parappudva temple,isurumuniya temple
25,kumana national park,minneriya national park,national park wasgamuwa,ambalangoda,uppuveli
26,botanic dry gardens hambantota zone,botanical gardens seethawaka wet zone,lunuganga,botanic gardens peradeniya royal,park ranmasu royal uyana
27,kitulgala,city colombo port,lagoon umari,negombo,folk martin museum wickramasinghe
28,belihuloya,kadugannawa lions mouth rock,pidurangala rock,peacocks rock,eliya seetha
29,arts centre nelung,arts crafts sunflower,isurumuniya temple,manelwatta temple,korathota royal temple
30,deliwala kota temple vehera,gangaramaya temple,korathota royal temple,dalada maligawa sri,manelwatta temple
31,galle,anuradhapura,ancient city polonnaruwa,colombo,polonnaruwa
32,kandalama,pinnawala,anuradhapura,archaeological mihintale museum,hot madunagala spring water
33,pinnawala,udawalawa,dehiwala gardens zoological,park ridiyagama safari,angammedilla national park
34,marakolliya,uppuveli,explorers mirissa whale,beach marakolliya,beach mirissa
35,galle,arts crafts sunflower,polonnaruwa,ambalangoda,deliwala kota temple vehera
36,arts centre nelung,arts crafts sunflower,city colombo tour,negombo,colombo
37,anawilundawa wetland,folk martin museum wickramasinghe,national park wasgamuwa,angammedilla national park,minneriya national park
38,camping heyna site,blue camping moon,belihuloya,meemure,arana sandaraja wana
39,explorers mirissa whale,marakolliya,uppuveli,centre cultural kandyan,beach marakolliya
40,anuradhapura,archaeological mihintale museum,koggala,boat center coral issue sanctuary ticket,island pigeon
41,folk martin museum wickramasinghe,arts centre nelung,dhanaja gem museum,independence memorial museum,museum paduwasnuwara
42,dhanaja gem museum,independence memorial museum,museum paduwasnuwara,folk martin museum wickramasinghe,kandy museum national
43,hot maha oya springs water,hot kanniya springs water,hot madunagala spring water,kandalama,dambulla
44,arts centre nelung,beach nilaveli,beach hambantota,arts crafts sunflower,beach kiranchi
45,kadugannawa lions mouth rock,belihuloya,pidurangala rock,peacocks rock,fortress rock yapahuwa
46,golden mountain narangala,botanic dry gardens hambantota zone,lunuganga,botanic gardens peradeniya royal,lanka planetarium sri
47,independence memorial museum,dhanaja gem museum,museum paduwasnuwara,folk martin museum wickramasinghe,botanic dry gardens hambantota zone
48,kandalama,dambulla,hot maha oya springs water,hot madunagala spring water,hot jayanthi spring wewa
49,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandalama,hot jayanthi spring wewa
50,botanic dry gardens hambantota zone,centre cultural kandyan,lunuganga,botanic gardens peradeniya royal,botanical gardens seethawaka wet zone
51,kitulgala,eliya seetha,doovili ella neluwa,forest kanneliya national rain reserve,tangalle
52,kumana national park,neithal park,colombo,national park wasgamuwa,national park somawathiya
53,hot maha oya springs water,hot kanniya springs water,hot madunagala spring water,kandalama,dambulla
54,anuradhapura,archaeological mihintale museum,colombo,ancient city polonnaruwa,potgul temple
55,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandalama,hot jayanthi spring wewa
56,explorers mirissa whale,marakolliya,uppuveli,beach marakolliya,beach mirissa
57,kandalama,lanka planetarium sri,hot maha oya springs water,dambulla,hot madunagala spring water
58,boat center coral issue sanctuary ticket,island pigeon,koggala,hikkaduwa,beach hikkaduwa
59,pinnawala,udawalawa,dehiwala gardens zoological,angammedilla national park,park ridiyagama safari
60,kadugannawa lions mouth rock,belihuloya,arts centre nelung,pidurangala rock,peacocks rock
61,kandalama,lanka planetarium sri,dambulla,hot maha oya springs water,kandy
62,kandy,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,art gallery national of
63,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,anuradhapura,archaeological mihintale museum
64,anuradhapura,galle,ancient city polonnaruwa,polonnaruwa,colombo
65,tangalle,centre cultural kandyan,ahangama,marakolliya,dewalaya kataragama maha ruhunu
66,ambalangoda,arts centre nelung,point turtle watching,and centre conservation hasselblad research sea turtle victor,arts crafts sunflower
67,folk martin museum wickramasinghe,ambalangoda,uppuveli,bird tower watching,boat dolphin kalpitiya trip watching
68,explorers mirissa whale,marakolliya,uppuveli,bolgoda lake,boat center coral issue sanctuary ticket
69,city colombo tour,folk martin museum wickramasinghe,centre city kandy,city colombo port,colombo
70,camping heyna site,kitulgala,blue camping moon,belihuloya,meemure
71,anuradhapura,adams pada peak sri,dewalaya kataragama maha ruhunu,kandalama,dalada maligawa sri
72,camping heyna site,pinnawala,blue camping moon,belihuloya,meemure
73,bolgoda lake,lanka planetarium sri,beach mandathivu,beach kiranchi,kandy
74,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,galle,anuradhapura
75,golden mountain narangala,botanic dry gardens hambantota zone,lunuganga,botanic gardens peradeniya royal,botanical gardens seethawaka wet zone
76,kitulgala,centre cultural kandyan,city colombo port,arankale buddhist monastery,lagoon umari
77,centre cultural kandyan,polonnaruwa,arankale buddhist monastery,kataragama,gangaramaya temple
78,kumana national park,ambalangoda,boat dolphin kalpitiya trip watching,uppuveli,bird tower watching
79,deliwala kota temple vehera,manelwatta temple,gangaramaya temple,devasthanam kandaswamy nallur,dalada maligawa sri
80,camping heyna site,blue camping moon,belihuloya,meemure,arana sandaraja wana
81,haliela lanka sri,eliya nuwara,kandy,haputale,devon falls
82,anuradhapura,archaeological mihintale museum,colombo,ancient city polonnaruwa,folk martin museum wickramasinghe
83,golden mountain narangala,knuckles,adams pada peak sri,dewalaya kataragama maha ruhunu,dalada maligawa sri
84,kandy,art gallery national of,art centre lionel wendt,arts centre nelung,bird tower watching
85,kandalama,campaign diggala side,dambulla,hot maha oya springs water,mirissa
86,art centre lionel wendt,art gallery national of,kandy,anuradhapura,archaeological mihintale museum
87,arts crafts sunflower,polonnaruwa,kandy,ambalangoda,jana kala kendraya
88,haputale,beach mirissa,galle,beach hambantota,bathalagoda tank
89,centre cultural kandyan,gangaramaya temple,polonnaruwa,folk martin museum wickramasinghe,dalada maligawa sri
90,dutch fort galle,parakrama samudraya,haputale,kingdom panduwasnuwara,monument of victory
91,explorers mirissa whale,marakolliya,uppuveli,centre cultural kandyan,beach marakolliya
92,kandalama,sigiriya,anuradhapura,national park wasgamuwa,arches bridge nine
93,arts crafts sunflower,ambalangoda,explorers mirissa whale,arts centre nelung,marakolliya
94,lanka planetarium sri,kandy,anawilundawa wetland,eliya nuwara,national park wasgamuwa
95,kumana national park,national park wasgamuwa,minneriya national park,kandalama,alupotha ella waterfall
96,anuradhapura,51 prasadaya sathmahal,folk martin museum wickramasinghe,kumana national park,national park wasgamuwa
97,camping heyna site,blue camping moon,belihuloya,meemure,arana sandaraja wana
98,centre cultural kandyan,polonnaruwa,arankale buddhist monastery,kataragama,gangaramaya temple
99,by cinnamon hikka tranz,kitulgala,negombo,folk martin museum wickramasinghe,independence memorial museum
100,art gallery national of,art centre lionel wendt,pinnawala,arts centre nelung,udawalawa
101,golden mountain narangala,sunsetisland,knuckles,center conservation forest makandawa makandawa,gal national oya park valley
102,kitulgala,eliya seetha,doovili ella neluwa,forest kanneliya national rain reserve,lagoon umari
103,galle,colombo,anuradhapura,ancient city polonnaruwa,national park somawathiya
104,galle,kadugannawa lions mouth rock,belihuloya,pidurangala rock,manelwatta temple
105,galle,beach kokkilai,anuradhapura,polonnaruwa,folk martin museum wickramasinghe
106,dutch fort galle,haputale,church dutch matara reformed,church marys st,deliwala kota temple vehera
107,bird tower watching,anawilundawa wetland,kumana national park,bird bird ecotourism kalametiya sanctuary watching,bird sanctuary vankalai
108,arana sandaraja wana,bentota ganga,aquarium water world,hundukata,city colombo tour
109,galle,pinnawala,arana sandaraja wana,udawalawa,aquarium water world
110,botanic dry gardens hambantota zone,park ranmasu royal uyana,lunuganga,arana sandaraja wana,botanic gardens peradeniya royal
111,camping heyna site,blue camping moon,belihuloya,meemure,arana sandaraja wana
112,explorers mirissa whale,marakolliya,uppuveli,bolgoda lake,beach mandathivu
113,harbour trincomalee,mirissa,beach okanda,and centre conservation hasselblad research sea turtle victor,habaraduwa hatchery sea turtle
114,anawilundawa wetland,sanctuary tissa wirawila,jungle muru safari,parakrama samudraya,dutch fort galle
115,arugam bay beach,eco elephant hurulu park safari wild,angammedilla national park,chariot path,maha single swarnagiri temple tree viharaya
116,haputale,haliela lanka sri,eliya nuwara,kandy,devon falls
117,anuradhapura,galle,ancient city polonnaruwa,polonnaruwa,anawilundawa wetland
118,explorers mirissa whale,marakolliya,uppuveli,boat center coral issue sanctuary ticket,beach mirissa
119,kandalama,dambulla,hot maha oya springs water,mirissa,harbour trincomalee
120,botanic dry gardens hambantota zone,boat center coral issue sanctuary ticket,lunuganga,botanic gardens peradeniya royal,botanical gardens seethawaka wet zone
121,dhanaja gem museum,independence memorial museum,museum paduwasnuwara,folk martin museum wickramasinghe,kandy museum national
122,kandy,art gallery national of,art centre lionel wendt,arts centre nelung,polonnaruwa
123,explorers mirissa whale,marakolliya,uppuveli,beach marakolliya,beach mirissa
124,kadugannawa lions mouth rock,belihuloya,pidurangala rock,peacocks rock,fortress rock yapahuwa
125,dhanaja gem museum,independence memorial museum,museum paduwasnuwara,folk martin museum wickramasinghe,kandy museum national
126,centre cultural kandyan,deliwala kota temple vehera,parakrama samudraya,dutch fort galle,lahugala magul maha viharaya
127,galle,colombo,anuradhapura,ancient city polonnaruwa,polonnaruwa
128,udawalawa,pinnawala,elephant park,bay pearl,elephant orphanage pinnawala
129,udawalawa,pinnawala,elephant park,bay pearl,elephant orphanage pinnawala
130,sigiriya,folk martin museum wickramasinghe,anuradhapura,mihintale,kandalama
131,beach koggala,negombo,ambalangoda,uppuveli,koggala
132,arana sandaraja wana,aquarium water world,hundukata,bentota ganga,bopath falls
133,arts crafts sunflower,ambalangoda,polonnaruwa,jana kala kendraya,kandy
134,kandy,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,art gallery national of
135,haputale,kingdom panduwasnuwara,dutch fort galle,thummulla wewa,parakrama samudraya
136,kandy,art gallery national of,art centre lionel wendt,arts centre nelung,jaffna library public
137,kitulgala,negombo,city colombo port,trincomalee,kalpitiya
138,kumana national park,neithal park,colombo,national park wasgamuwa,national park somawathiya
139,pinnawala,udawalawa,habaraduwa hatchery sea turtle,dehiwala gardens zoological,mirissa
140,eliya seetha,botanic dry gardens hambantota zone,doovili ella neluwa,forest kanneliya national rain reserve,centre cultural kandyan
141,kitulgala,negombo,kalpitiya,trincomalee,city colombo port
142,arts centre nelung,eliya seetha,arts crafts sunflower,doovili ella neluwa,ahangama
143,haputale,haliela lanka sri,eliya nuwara,kandy,devon falls
144,kandalama,golden mountain narangala,beach nilaveli,beach hambantota,beach kiranchi
145,parakrama samudraya,dutch fort galle,kingdom panduwasnuwara,monument of victory,haputale
146,bird tower watching,kumana national park,anawilundawa wetland,bird bird ecotourism kalametiya sanctuary watching,kattukkarai kulam
147,haliela lanka sri,bolgoda lake,eliya nuwara,kandy,haputale
148,pinnawala,udawalawa,dehiwala gardens zoological,park ridiyagama safari,angammedilla national park
149,boat center coral issue sanctuary ticket,lanka planetarium sri,island pigeon,kandy,campaign diggala side
