User ID,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5
1,anuradhapura,haputale,polonnaruwa,ella surathali,dambulla
2,forest kanneliya national rain reserve,horton national park plains,national park wilpattu,minneriya national park,hot madunagala spring water
3,beach mirissa,lagoon negombo,beach jungle,park viharamahadevi,arugam bay beach
4,lagoon negombo,city colombo port,harbour trincomalee,kalpitiya,hot madunagala spring water
5,dutch fort galle,sigiriya,lagoon negombo,city colombo port,jaffna library public
6,dutch fort galle,sigiriya,colombo,mihintale,and cave dambulla golden royal temple temple
7,lagoon negombo,hikkaduwa,kalpitiya,club colombo golf royal,club eliya golf nuwara
8,dalada maligawa sri,adams pada peak sri,harbour trincomalee,dambulla,kandalama
9,sigiriya,dutch fort galle,botanical gardens seethawaka wet zone,botanical garden hakgala,botanic dry gardens hambantota zone
10,lagoon negombo,city colombo port,lanka planetarium sri,polonnaruwa,ritigala
11,club colombo golf royal,club eliya golf nuwara,kandy museum national,galle museum national,colombo museum national
12,national park udawalawe,national park wilpattu,minneriya national park,national park wasgamuwa,elephant home transit
13,hikkaduwa,kandy museum national,galle museum national,dutch museum,colombo museum national
14,dutch fort galle,fortress rock yapahuwa,ella surathali,lanka planetarium sri,pinnawala
15,trincomalee,national park yala,ella ravan waterfall,diyaluma falls,bambarakiri ella
16,dambulla,kandalama,ella surathali,fortress rock yapahuwa,devasthanam kandaswamy nallur
17,kumana national park,forest reserve sinharaja,bundala national park,elephant home transit,minneriya national park
18,hikkaduwa,sigiriya,national park udawalawe,national park wilpattu,minneriya national park
19,eliya nuwara,dalada maligawa sri,kandy,ambalangoda,eliya seetha
20,beach mirissa,national park yala,national park udawalawe,beach hikkaduwa,elephant home transit
21,ancient city polonnaruwa,anuradhapura,ella ravan waterfall,diyaluma falls,bambarakiri ella
22,anuradhapura,colombo,galle,polonnaruwa,unawatuna
23,colombo,centre city kandy,city colombo tour,dalada maligawa sri,galle
24,mihintale,and cave dambulla golden royal temple temple,adams pada peak sri,arts centre nelung,bodhi jaya maha sri
25,horton national park plains,sigiriya,and cave dambulla golden royal temple temple,forest reserve sinharaja,arches bridge nine
26,galle,knuckles,forest reserve sinharaja,botanical gardens seethawaka wet zone,botanical garden hakgala
27,kitulgala,city colombo port,dalada maligawa sri,ahungalla,kalpitiya lagoon
28,ella ravan waterfall,diyaluma falls,bambarakiri ella,bopath falls,bambarakanda falls
29,beach unawatuna,island pigeon,and cave dambulla golden royal temple temple,mihintale,beach hikkaduwa
30,lagoon negombo,anuradhapura,adams pada peak sri,polonnaruwa,bodhi jaya maha sri
31,dutch fort galle,ancient city polonnaruwa,anuradhapura,jaffna library public,folk martin museum wickramasinghe
32,national park udawalawe,sigiriya,forest kanneliya national rain reserve,elephant home transit,elephant orphanage pinnawala
33,adams pada peak sri,city colombo port,leisure world,bay pearl,national park udawalawe
34,negombo,beach mirissa,beach nilaveli,beach uppuveli,beach tangalle
35,mihintale,and cave dambulla golden royal temple temple,bodhi jaya maha sri,buddhist temple vehera velgam,ella surathali
36,negombo,island pigeon,arts centre nelung,art gallery national of,centre city kandy
37,dalada maligawa sri,forest kanneliya national rain reserve,national park udawalawe,national park wilpattu,minneriya national park
38,forest kanneliya national rain reserve,national park udawalawe,national park wilpattu,minneriya national park,national park wasgamuwa
39,trincomalee,beach mirissa,national park yala,kandy,minneriya national park
40,island pigeon,dutch fort galle,anuradhapura,beach nilaveli,polonnaruwa
41,beach unawatuna,kandy museum national,galle museum national,colombo museum national,dutch museum
42,hikkaduwa,island pigeon,kandy museum national,galle museum national,dutch museum
43,eliya nuwara,haputale,dambulla,hot madunagala spring water,hot maha oya springs water
44,jaffna library public,art gallery national of,arugam bay beach,gangaramaya temple,folk martin museum wickramasinghe
45,knuckles,ella surathali,fortress rock yapahuwa,beach hikkaduwa,arugam bay beach
46,knuckles,kandy,botanical gardens seethawaka wet zone,botanical garden hakgala,botanic dry gardens hambantota zone
47,harbour trincomalee,kandy museum national,galle museum national,colombo museum national,dutch museum
48,island pigeon,kitulgala,dambulla,kandalama,ahungalla
49,club colombo golf royal,hot madunagala spring water,hot maha oya springs water,club eliya golf nuwara,lanka planetarium sri
50,eliya nuwara,dambulla,kandalama,botanical gardens seethawaka wet zone,botanical garden hakgala
51,beach mirissa,beach hikkaduwa,tangalle,ahangama,arugam bay beach
52,city colombo port,lagoon negombo,beach jungle,park viharamahadevi,arugam bay beach
53,dambulla,hot madunagala spring water,hot maha oya springs water,kandalama,kandy lake
54,sigiriya,buddhist temple vehera velgam,arches bridge nine,art gallery national of,beach hikkaduwa
55,hot madunagala spring water,sigiriya,ancient city polonnaruwa,hot maha oya springs water,haputale
56,trincomalee,beach mirissa,city colombo port,hikkaduwa,harbour trincomalee
57,leisure world,kandy,dambulla,bay pearl,kandalama
58,forest reserve sinharaja,national park yala,galle,arches bridge nine,unawatuna
59,anuradhapura,national park udawalawe,elephant home transit,elephant orphanage pinnawala,polonnaruwa
60,knuckles,ella surathali,fortress rock yapahuwa,arts centre nelung,nelum pokuna theatre
61,dambulla,eliya nuwara,dalada maligawa sri,kandy,kandalama
62,horton national park plains,sigiriya,national park yala,hot madunagala spring water,hot maha oya springs water
63,hot madunagala spring water,sigiriya,hot maha oya springs water,and cave dambulla golden royal temple temple,mihintale
64,trincomalee,sigiriya,forest reserve sinharaja,anuradhapura,arches bridge nine
65,dalada maligawa sri,and cave dambulla golden royal temple temple,trincomalee,beach hikkaduwa,arugam bay beach
66,arts centre nelung,hikkaduwa,art centre lionel wendt,nelum pokuna theatre,art gallery national of
67,horton national park plains,knuckles,lagoon negombo,dalada maligawa sri,belihuloya
68,trincomalee,beach mirissa,hikkaduwa,island pigeon,beach rekawa
