user_id,rec_1,rec_2,rec_3,rec_4,rec_5
1,Huluganga Ella Waterfall,Bambarakanda Falls,Diyagala Escape,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
2,Bambarakanda Falls,Diyagala Escape,Huluganga Ella Waterfall,Jaffna Public Library,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
3,Huluganga Ella Waterfall,Bambarakanda Falls,Leisure World,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort,Bopath Falls
4,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort,Bopath Falls
5,Huluganga Ella Waterfall,Diyagala Escape,Jaffna Public Library,Leisure World,Bopath Falls
6,Huluganga Ella Waterfall,Bambarakanda Falls,Bopath Falls,Diyagala Escape,Leisure World
7,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
8,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort,Bopath Falls
9,Huluganga Ella Waterfall,Diyagala Escape,Bopath Falls,Bambarakanda Falls,Jaffna Public Library
10,Huluganga Ella Waterfall,Bopath Falls,Diyagala Escape,Bambarakanda Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
11,Bambarakanda Falls,Huluganga Ella Waterfall,Diyagala Escape,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
12,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Bopath Falls,Jaffna Public Library
13,Huluganga Ella Waterfall,Bambarakanda Falls,Bopath Falls,Diyagala Escape,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
14,Huluganga Ella Waterfall,Diyagala Escape,Bopath Falls,Bambarakanda Falls,Jaffna Public Library
15,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort,Bambarakanda Falls,Huluganga Ella Waterfall,Diyagala Escape,Bopath Falls
16,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
17,Huluganga Ella Waterfall,Bambarakanda Falls,Diyagala Escape,Bopath Falls,Bambarakiri Ella
18,Huluganga Ella Waterfall,Bopath Falls,Bambarakanda Falls,Jaffna Public Library,Diyagala Escape
19,Diyagala Escape,Bambarakanda Falls,Huluganga Ella Waterfall,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort,Bopath Falls
20,Huluganga Ella Waterfall,Bambarakanda Falls,Diyagala Escape,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
21,Huluganga Ella Waterfall,Bambarakanda Falls,Bopath Falls,Diyagala Escape,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
22,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
23,Huluganga Ella Waterfall,Bambarakanda Falls,Diyagala Escape,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
24,Bambarakanda Falls,Diyagala Escape,Bopath Falls,Huluganga Ella Waterfall,Jaffna Public Library
25,Huluganga Ella Waterfall,Bambarakanda Falls,Diyagala Escape,Jaffna Public Library,Bopath Falls
26,Huluganga Ella Waterfall,Diyagala Escape,Bambarakanda Falls,Bopath Falls,Thepulangoda Waterfall
27,Diyagala Escape,Bambarakanda Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort,Huluganga Ella Waterfall,Bopath Falls
28,Huluganga Ella Waterfall,Bambarakanda Falls,Diyagala Escape,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
29,Diyagala Escape,Bambarakanda Falls,Huluganga Ella Waterfall,Bopath Falls,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
30,Diyagala Escape,Bambarakanda Falls,Bopath Falls,Huluganga Ella Waterfall,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
31,Huluganga Ella Waterfall,Bopath Falls,Diyagala Escape,Bambarakanda Falls,Jaffna Public Library
32,Bambarakanda Falls,Huluganga Ella Waterfall,Bopath Falls,Diyagala Escape,Spa Ceylon Heritage Spa & Boutique II ÃƒÂ¢Ã‚Â€Ã‚Â“ Galle Fort
33,Bambarakanda Falls,Huluganga Ella Waterfall,Bopath Falls,Diyagala Escape,Sambodhi Pagoda Temple
