user_id,recommendations
1,[220 111 376 121 107]
2,[111 376 220  53 107]
3,[220 111  89 107 121]
4,[220 376 111 107 121]
5,[220 376  53  89 121]
6,[220 111 121 376  89]
7,[220 376 111 121 107]
8,[220 376 111 107 121]
9,[220 376 121 111  53]
10,[220 121 376 111 107]
11,[111 220 376 121 107]
12,[220 376 111 121  53]
13,[220 111 121 376 107]
14,[220 376 121 111  53]
15,[107 111 220 376 121]
16,[220 376 111 121 107]
17,[220 111 376 121 120]
18,[220 121 111  53 376]
19,[376 111 220 107 121]
20,[220 111 376 121 107]
21,[220 111 121 376 107]
22,[220 376 111 121 107]
23,[220 111 376 121 107]
24,[111 376 121 220  53]
25,[220 111 376  53 121]
26,[220 376 111 121 298]
27,[376 111 107 220 121]
28,[220 111 376 121 107]
29,[376 111 220 121 107]
30,[376 111 121 220 107]
31,[220 121 376 111  53]
32,[111 220 121 376 107]
33,[111 220 121 376 329]
34,[220 111 376 121 107]
35,[220 111 121 376 384]
36,[121 220 376 111 107]
37,[220 111 376 121 107]
38,[220 111 376  53 121]
39,[111 376 220 121  53]
40,[220 376 111 121 107]
41,[376 220 111 121 107]
42,[220 121 111 376  53]
43,[376 220 111 107 121]
44,[220 376 111 121 107]
45,[220 376 121 384 111]
46,[220 111 376 384 121]
47,[220 111 376 121  53]
48,[220 376 111 121 107]
49,[220 111 376 121 107]
50,[376 111 220 121 107]
51,[220 376 111 121 107]
52,[220 111 121 376  89]
53,[376 220 107 121 111]
54,[220 376 111 121 107]
55,[220 376 111 121  53]
56,[220 111 376 121 384]
57,[220 111 376 121 107]
58,[220 111 376 145 121]
59,[220 121 111 376 329]
60,[376 220 121 111 298]
61,[111 376 220 107 121]
62,[111 220 376 121 107]
63,[111 376 220 121 107]
64,[220 111 376 121 145]
65,[376 111 220 121 107]
66,[111 220 121 376 120]
67,[376 111  53 107 220]
68,[220 376 111 121  89]
69,[220 376 121 111  53]
70,[376 220 121 111 298]
71,[220 111 376 121 107]
72,[220 111 121 376  81]
73,[220 111 376 121 107]
74,[220 121 376 111  53]
75,[220 376 121  53 111]
76,[220 376 121 111 107]
77,[121 220 376 111  53]
78,[376 111 220 107 121]
79,[376 111 220 121  53]
80,[220 111 376 121  89]
81,[220 376 107 111 121]
82,[376 111 220 107 121]
83,[220 376 111 121 107]
84,[220 376 111 121 145]
85,[220 376 111 107 121]
86,[220 111 376 121 145]
87,[220 111 121 376 298]
88,[220 376 111 121 165]
89,[111 220 376 121 107]
90,[220 121 376  53  89]
91,[376 111 220 121 145]
92,[220 121 376 111 329]
93,[220 111 376 121  89]
94,[220 111 376 121 107]
95,[220 111 376 329 107]
96,[111 220 376 107 121]
97,[220 376 111 107 121]
98,[111 220 376 107 121]
99,[220 111 376 121 107]
100,[220 111 121 376 107]
101,[220 121 111 376  53]
102,[220 376 111 107 121]
103,[220 111 121 376 107]
104,[220 121 376 111 384]
105,[220 376 111 298 121]
106,[220 376 111 121 298]
107,[376 111 220 107 121]
108,[220 376 121 111  89]
109,[220 121 111 376 107]
110,[220 376 121  53 111]
111,[220 111 376 121  81]
112,[376 220 111 121 384]
113,[220 376 111 121  89]
114,[220 121 376 111  53]
115,[220 111 376 121 107]
116,[376 220 384 107  53]
117,[111 220 376 121 107]
118,[220 111 376  89 121]
119,[220 111 376 107 121]
120,[220 121 376 111  53]
121,[220 121 376 111 384]
122,[220 111 376 107 145]
123,[376 111 220 384 107]
124,[220 111 376 121 107]
125,[220 111 121 376 107]
126,[220 121 376 111  53]
127,[220 111 121 376 107]
128,[376 220 111 107  53]
129,[220 376 111 107 121]
130,[220 376 121 111  89]
131,[220 376 111 121  53]
132,[220 121 376 111 107]
133,[220 111 121 376 107]
134,[111 220 376 121 107]
135,[220 121 111 376 107]
136,[220 111 376 121 107]
137,[220 121 376 107 111]
138,[220 376 111 121 107]
139,[220 111 121 376 107]
140,[111 376 220 107  53]
141,[220 121 111 376 107]
142,[111 376 220 121 107]
143,[220 376 121 107  53]
144,[220 376 111 107 121]
145,[220 121 376  53 111]
146,[220 111 376 121 120]
147,[220 376 111 107  53]
148,[111 220 121 376 329]
149,[220 111 376 121 107]
150,[220 111 121 376 329]
151,[220 376 111 107 384]
152,[220 376 121 111  53]
153,[220 376 111 121 145]
154,[376 220 111 121  53]
155,[111 220 376 121 107]
156,[220 111 376 121  89]
157,[376 107 220 121  53]
158,[220 111 376  53 121]
159,[220 376 111 107 121]
160,[220 111 121 376 107]
161,[220 111 121 376 107]
162,[220 376 121 111  89]
163,[220 376 111 121 145]
164,[220 376 107 121 111]
165,[220 111 376 121 107]
166,[220 111 121 376 107]
167,[220 121 376 111 107]
168,[220 111 376 121 107]
169,[220 111 376 121 107]
170,[220 376 111 384 121]
171,[220 111 376 107 121]
172,[220 376 111 121  53]
173,[220 111 376 121 107]
174,[220 376 111 121 107]
175,[220 111 376  53 121]
176,[220 376 111 121  53]
177,[220 111 121 376  53]
178,[111 376 121 220  53]
179,[121 220 376 111  53]
180,[220 376 111 121 107]
181,[220 111 376  53 107]
182,[220 376 121 384 111]
183,[220 376 111 121 384]
184,[220 376 121 111 107]
185,[220 376 111 121  53]
186,[220 376 111 121 107]
187,[121 376 220 111  53]
188,[220 376 121 111 384]
189,[220 111 121 376  89]
190,[220 376 111 329 121]
191,[220 376 111 121 107]
192,[220 111 376  89 145]
193,[220 111 121 376 107]
194,[220 111 376  53 121]
195,[220 121 111 376  53]
196,[111 220 121 376 107]
197,[220 376 107 384 111]
198,[376 107 111 220 121]
199,[220 376 111 121 107]
200,[220 376 111 121  53]
201,[220 376 111 121 107]
202,[220 376 111  53 107]
203,[376 220 111 121 107]
204,[376 111 220 121 107]
205,[220 111 376 121 107]
206,[220 111 121 376 107]
207,[376 220 121 111 107]
208,[111 220 376 107  89]
209,[220 376 121 111  53]
210,[220 111 376 121 107]
211,[220 121 111 376  53]
212,[220 111 376 121  89]
213,[220 376 111 121 298]
214,[376 121 107 111 220]
215,[220 111 121 376 107]
216,[220 376 121 111 298]
217,[220 376 107 121 111]
218,[220 111 121 376 329]
219,[220 376 121 111  53]
220,[220 111 376 107 384]
221,[220 376 111 121 107]
222,[220 121 376  53 111]
223,[220 121 376 111 107]
224,[220 111 376 107  53]
225,[220 111 376 121 107]
226,[220 111 121 376 107]
227,[220 376 107 121 111]
228,[376 111 220 121 107]
229,[111 107 376  53 220]
230,[376 121 111 220  53]
231,[220 376 111 121  53]
232,[220 111 376 107  53]
233,[220 111 121 376  53]
234,[220 111 376 121 107]
235,[220 111 376 121 107]
236,[220 111 376 121 329]
237,[220 376 111 121 107]
238,[376 111 220 121 107]
239,[220 376 111 121 107]
240,[220 376 111 121 107]
241,[220 121 111 376 107]
242,[111 220 376 121  53]
243,[111 220 376  53 121]
244,[111 220 121 376 107]
245,[111 220 376 121 107]
246,[220 376 111 121 107]
247,[220 111 376 121 145]
248,[220 121 111 376 107]
249,[220 111 121 376 107]
250,[220 111 376 121 107]
251,[220 111 376 121  53]
252,[220 376 111 121 298]
253,[220 111 376 121  53]
254,[220 111 376 121  53]
255,[220 111 121 376 329]
256,[220 111 376 121  53]
257,[220 111 107 121 376]
258,[220 111 121 376 107]
259,[220 111 107 121 376]
260,[220 121 376 111 107]
261,[220 376 121 111  53]
262,[220 376 111 121 107]
263,[220 376 111 121 107]
264,[220 111 376 121 107]
265,[220 111 376 145 121]
266,[220 111 376 121 329]
267,[220 111 376 121 107]
268,[220 111 376 329 121]
269,[220 376 111 121  89]
270,[220 376 111 107  53]
271,[220 376 111  53 121]
272,[220 376  53 121 111]
273,[220 111 376 121 107]
274,[111 376 220 121 107]
275,[220 111 376 107 121]
276,[220 376 111 121 298]
277,[220 111 376 121 107]
278,[220 376 111  53 384]
279,[220 121 376  53 107]
280,[220 111 121 376  53]
281,[220 111 376 121 107]
282,[220 111 376 121 329]
283,[220 111 376 107 121]
284,[220 111 121 376 384]
285,[111 376 220 121  53]
286,[220 376 111 121  89]
287,[220 376 111 121  53]
288,[220 121 111 376 329]
289,[220 111 376 121 145]
290,[220 111 376 121 107]
291,[376 220 107 111  53]
292,[220 376 111 121 107]
293,[220 376 121 111  53]
294,[220 376 121 111 384]
295,[220 111 376 121 165]
296,[220 111 376 121 145]
297,[220 111 121 376 107]
298,[111 376 220  53 107]
299,[220 111 376 121 107]
300,[220 121 111 376  89]
301,[220 111 376 121 107]
302,[111 220 376 121 107]
303,[220 111 376 121  53]
304,[220 111 376  53 121]
305,[220 121 111 376 384]
306,[111 220 121 376 107]
307,[220 111 376 121 384]
308,[376 220 111 121 107]
309,[111 376 220 121 107]
310,[220 111 376 121  53]
311,[220 376 121 111  89]
312,[220 111 376  89 121]
313,[111 220 376 121 107]
314,[376 111 220 121 107]
315,[220 111 376 107 329]
316,[220 376 111 107 121]
317,[220 376 121 111 107]
318,[220 111 376 121 329]
319,[376 111 220 121 107]
320,[220 111 376 121 145]
321,[220 121 111 376 107]
322,[220 376 121 111 384]
323,[376 111 220 121 107]
324,[220 111 376 121 107]
325,[111 220 376 107 121]
326,[376 220 111 107 121]
327,[220 376 111 121 107]
328,[220 111 376 121 107]
329,[220 376 111 121 298]
330,[111 220 121 376 107]
331,[376 111 107 121 220]
332,[220 111 376 121 107]
333,[376 220 111 121 384]
334,[220 121 376 111 107]
335,[220 111 121 376 107]
336,[111 220 376 121 329]
337,[220 111 121 376 107]
338,[220 121  53 111 376]
339,[376 111 220 107 121]
340,[220 111 376  89 145]
341,[220 111 376 121 384]
342,[111 220 376 121  53]
343,[220 121 111 376  53]
344,[220 376 121 107 111]
345,[220 111 376 121 384]
346,[220 376 111  53 298]
347,[376 220 111 107 121]
348,[220 121 376 111  53]
349,[220 121 376 111  81]
350,[220 111 376 107 121]
351,[220 111 121 376 107]
352,[220 111 121 376  53]
353,[220 376 121 111 107]
354,[220 376 111 121 145]
355,[376 111 107 121 220]
356,[220 121 376 111 107]
357,[220 376 121 107 111]
358,[220 121 376 111 107]
359,[220 111 121 376  53]
360,[220 121 376 111 107]
361,[220 107 121 376 111]
362,[220 111 121 376  89]
363,[220 376 121 111 107]
364,[220 111 121 376  53]
365,[220 111 376 121  89]
366,[376 111 220 121 107]
367,[376 111 220 107 121]
368,[121 376 220 111 107]
369,[220 111 121 376 145]
370,[220 111 376 121 107]
371,[220 376 111 121 107]
372,[220 111 121 376 107]
373,[220 111 376 121  53]
374,[376 111 220  53 107]
375,[220 376 121 384 111]
376,[220 376 111 121 107]
377,[376 220 111 121  89]
378,[220 376 111 329 120]
379,[220 376 121 111 107]
380,[220 376 111 121  53]
381,[220 111 376 121 107]
382,[220 111 376 121 107]
383,[220 376 121 107 384]
384,[220 111 121 376 384]
385,[220 111 376 107 121]
386,[111 376 220 121  53]
387,[220 376 121 111 107]
388,[220 111 121 376 165]
389,[220 111 121 376 107]
390,[220 121 376 111 107]
391,[220 376 121 107 111]
392,[220 376 121 111 107]
393,[220 376 111 121 107]
394,[220 376 111 121 107]
395,[220 121 111 376 329]
396,[220 111 121 376 107]
397,[220 376 111 107 121]
398,[220 111 376 121  53]
399,[220 111 376 121 107]
400,[220 376 111 121 107]
401,[111 220 376 121 107]
402,[220 111 376 121  89]
403,[220 121 376 111 384]
404,[376 220 111 121 329]
405,[220 111 121 376 107]
406,[376 111 220 121 107]
407,[111 220 121 376 107]
408,[111 220 121 376 107]
409,[376 220 121 111  53]
410,[220 376 121 111  53]
411,[220 376 111 121  89]
412,[220 376  53 121 384]
413,[220 376 111 121 107]
414,[220 111 376 121 107]
415,[220 121 376 111  53]
